Date,Day,Month,Year,Cases,Deaths,Population2018,CumCases,CumDeaths
2019-12-31,31,12,2019,0,0,82927922.0,0,0
2020-01-01,1,1,2020,0,0,82927922.0,0,0
2020-01-02,2,1,2020,0,0,82927922.0,0,0
2020-01-03,3,1,2020,0,0,82927922.0,0,0
2020-01-04,4,1,2020,0,0,82927922.0,0,0
2020-01-05,5,1,2020,0,0,82927922.0,0,0
2020-01-06,6,1,2020,0,0,82927922.0,0,0
2020-01-07,7,1,2020,0,0,82927922.0,0,0
2020-01-08,8,1,2020,0,0,82927922.0,0,0
2020-01-09,9,1,2020,0,0,82927922.0,0,0
2020-01-10,10,1,2020,0,0,82927922.0,0,0
2020-01-11,11,1,2020,0,0,82927922.0,0,0
2020-01-12,12,1,2020,0,0,82927922.0,0,0
2020-01-13,13,1,2020,0,0,82927922.0,0,0
2020-01-14,14,1,2020,0,0,82927922.0,0,0
2020-01-15,15,1,2020,0,0,82927922.0,0,0
2020-01-16,16,1,2020,0,0,82927922.0,0,0
2020-01-17,17,1,2020,0,0,82927922.0,0,0
2020-01-18,18,1,2020,0,0,82927922.0,0,0
2020-01-19,19,1,2020,0,0,82927922.0,0,0
2020-01-20,20,1,2020,0,0,82927922.0,0,0
2020-01-21,21,1,2020,0,0,82927922.0,0,0
2020-01-22,22,1,2020,0,0,82927922.0,0,0
2020-01-23,23,1,2020,0,0,82927922.0,0,0
2020-01-24,24,1,2020,0,0,82927922.0,0,0
2020-01-25,25,1,2020,0,0,82927922.0,0,0
2020-01-26,26,1,2020,0,0,82927922.0,0,0
2020-01-27,27,1,2020,0,0,82927922.0,0,0
2020-01-28,28,1,2020,1,0,82927922.0,1,0
2020-01-29,29,1,2020,3,0,82927922.0,4,0
2020-01-30,30,1,2020,0,0,82927922.0,4,0
2020-01-31,31,1,2020,1,0,82927922.0,5,0
2020-02-01,1,2,2020,2,0,82927922.0,7,0
2020-02-02,2,2,2020,1,0,82927922.0,8,0
2020-02-03,3,2,2020,1,0,82927922.0,9,0
2020-02-04,4,2,2020,2,0,82927922.0,11,0
2020-02-05,5,2,2020,0,0,82927922.0,11,0
2020-02-06,6,2,2020,0,0,82927922.0,11,0
2020-02-07,7,2,2020,1,0,82927922.0,12,0
2020-02-08,8,2,2020,1,0,82927922.0,13,0
2020-02-09,9,2,2020,0,0,82927922.0,13,0
2020-02-10,10,2,2020,0,0,82927922.0,13,0
2020-02-11,11,2,2020,0,0,82927922.0,13,0
2020-02-12,12,2,2020,2,0,82927922.0,15,0
2020-02-13,13,2,2020,0,0,82927922.0,15,0
2020-02-14,14,2,2020,0,0,82927922.0,15,0
2020-02-15,15,2,2020,0,0,82927922.0,15,0
2020-02-16,16,2,2020,0,0,82927922.0,15,0
2020-02-17,17,2,2020,0,0,82927922.0,15,0
2020-02-18,18,2,2020,0,0,82927922.0,15,0
2020-02-19,19,2,2020,0,0,82927922.0,15,0
2020-02-20,20,2,2020,0,0,82927922.0,15,0
2020-02-21,21,2,2020,0,0,82927922.0,15,0
2020-02-22,22,2,2020,0,0,82927922.0,15,0
2020-02-23,23,2,2020,0,0,82927922.0,15,0
2020-02-24,24,2,2020,0,0,82927922.0,15,0
2020-02-25,25,2,2020,0,0,82927922.0,15,0
2020-02-26,26,2,2020,2,0,82927922.0,17,0
2020-02-27,27,2,2020,4,0,82927922.0,21,0
2020-02-28,28,2,2020,26,0,82927922.0,47,0
2020-02-29,29,2,2020,10,0,82927922.0,57,0
2020-03-01,1,3,2020,54,0,82927922.0,111,0
2020-03-02,2,3,2020,18,0,82927922.0,129,0
2020-03-03,3,3,2020,28,0,82927922.0,157,0
2020-03-04,4,3,2020,39,0,82927922.0,196,0
2020-03-05,5,3,2020,66,0,82927922.0,262,0
2020-03-06,6,3,2020,138,0,82927922.0,400,0
2020-03-07,7,3,2020,284,0,82927922.0,684,0
2020-03-08,8,3,2020,163,0,82927922.0,847,0
2020-03-09,9,3,2020,55,0,82927922.0,902,0
2020-03-10,10,3,2020,237,2,82927922.0,1139,2
2020-03-11,11,3,2020,157,0,82927922.0,1296,2
2020-03-12,12,3,2020,271,1,82927922.0,1567,3
2020-03-13,13,3,2020,802,2,82927922.0,2369,5
2020-03-14,14,3,2020,693,0,82927922.0,3062,5
2020-03-15,15,3,2020,733,3,82927922.0,3795,8
2020-03-16,16,3,2020,1043,4,82927922.0,4838,12
2020-03-17,17,3,2020,1174,1,82927922.0,6012,13
2020-03-18,18,3,2020,1144,0,82927922.0,7156,13
2020-03-19,19,3,2020,1042,0,82927922.0,8198,13
2020-03-20,20,3,2020,5940,30,82927922.0,14138,43
2020-03-21,21,3,2020,4049,2,82927922.0,18187,45
2020-03-22,22,3,2020,3276,22,82927922.0,21463,67
2020-03-23,23,3,2020,3311,27,82927922.0,24774,94
2020-03-24,24,3,2020,4438,32,82927922.0,29212,126
2020-03-25,25,3,2020,2342,23,82927922.0,31554,149
2020-03-26,26,3,2020,4954,49,82927922.0,36508,198
2020-03-27,27,3,2020,5780,55,82927922.0,42288,253
2020-03-28,28,3,2020,6294,72,82927922.0,48582,325
2020-03-29,29,3,2020,3965,64,82927922.0,52547,389
2020-03-30,30,3,2020,4751,66,82927922.0,57298,455
2020-03-31,31,3,2020,4615,128,82927922.0,61913,583
2020-04-01,1,4,2020,5453,149,82927922.0,67366,732
2020-04-02,2,4,2020,6156,140,82927922.0,73522,872
2020-04-03,3,4,2020,6174,145,82927922.0,79696,1017
2020-04-04,4,4,2020,6082,141,82927922.0,85778,1158
2020-04-05,5,4,2020,5936,184,82927922.0,91714,1342
2020-04-06,6,4,2020,3677,92,82927922.0,95391,1434
2020-04-07,7,4,2020,3834,173,82927922.0,99225,1607
2020-04-08,8,4,2020,4003,254,82927922.0,103228,1861
2020-04-09,9,4,2020,4974,246,82927922.0,108202,2107
2020-04-10,10,4,2020,5323,266,82927922.0,113525,2373
2020-04-11,11,4,2020,4133,171,82927922.0,117658,2544
2020-04-12,12,4,2020,2821,129,82927922.0,120479,2673
2020-04-13,13,4,2020,2537,126,82927922.0,123016,2799
2020-04-14,14,4,2020,2082,170,82927922.0,125098,2969
2020-04-15,15,4,2020,2486,285,82927922.0,127584,3254
